,Rgn_Code,RegionName
0,E10000003,Cambridgeshire
1,E10000006,Cumbria
2,E10000007,Derbyshire
3,E10000008,Devon
4,E10000011,East Sussex
5,E10000012,Essex
6,E10000013,Gloucestershire
7,E11000001,Greater Manchester
8,E10000014,Hampshire
9,E10000015,Hertfordshire
10,E13000001,Inner London
11,E10000016,Kent
12,E10000017,Lancashire
13,E10000018,Leicestershire
14,E10000019,Lincolnshire
15,E11000002,Merseyside
16,E10000020,Norfolk
17,E10000023,North Yorkshire
18,E10000024,Nottinghamshire
19,E13000002,Outer London
20,E10000025,Oxfordshire
21,E10000027,Somerset
22,E11000003,South Yorkshire
23,E10000028,Staffordshire
24,E10000029,Suffolk
25,E10000030,Surrey
26,E11000007,Tyne and Wear
27,E10000031,Warwickshire
28,E11000005,West Midlands
29,E10000032,West Sussex
30,E11000006,West Yorkshire
31,E10000034,Worcestershire
